Country,Non-binary Recognition,Marriage Same Sex (Status),Worker Protections,Discrimination Protection,Violence Criminalization,Adoption Recognition,Poll Data,Transgender Legal Identity Laws,Transgender Murder Rates,Illegal Same Sex Relationships,Propaganda Morality Laws,Total Score,Safety Category
Canada,50,46,50,50,50,50,89,50,1.69,0,0,433.31,Very Safe
Malta,50,34,50,50,50,50,84,50,0,0,0,418,Very Safe
Netherlands,50,50,50,50,25,50,89,50,1.69,0,0,412.31,Very Safe
Denmark,50,39,50,25,50,50,84,50,0,0,0,398,Very Safe
Sweden,0,42,50,50,50,50,91,50,2.54,0,0,380.46,Very Safe
Spain,25,46,50,25,50,50,87,50,2.54,0,0,380.46,Very Safe
Iceland,50,41,50,25,25,50,87,50,0,0,0,378,Very Safe
New Zealand,50,38,25,25,50,50,86,50,3.39,0,0,370.61,Very Safe
Australia,50,34,50,25,25,50,87,50,1.69,0,0,369.31,Very Safe
Chile,50,29,50,25,50,50,68,50,11.02,0,0,360.98,Very Safe
Portugal,0,41,50,50,50,50,68,50,1.69,0,0,357.31,Very Safe
Norway,0,42,50,25,50,50,90,50,0,0,0,357,Very Safe
Germany,50,34,50,25,25,50,71,50,0,0,0,355,Very Safe
Belgium,0,48,50,25,50,50,78,50,0,0,0,351,Very Safe
United Kingdom,0,31,50,25,50,50,81,50,1.69,0,0,335.31,Very Safe
France,0,38,50,25,50,50,73,50,1.69,0,0,334.31,Very Safe
South Africa,0,45,50,50,25,50,65,50,1.69,0,0,333.31,Very Safe
Switzerland,0,29,50,50,25,50,76,50,0.85,0,0,329.15,Very Safe
Luxembourg,0,36,50,25,25,50,82,50,0,0,0,318,Very Safe
Finland,0,34,50,25,50,50,83,25,1.69,0,0,315.31,Very Safe
Ireland,0,36,50,25,25,50,79,50,0,0,0,315,Very Safe
Costa Rica,50,31,25,10,50,50,62,50,15.25,0,0,312.75,Very Safe
Austria,10,32,25,25,50,50,70,50,0.85,0,0,311.15,Very Safe
Uruguay,0,38,50,25,50,50,79,50,33.9,0,0,308.1,Very Safe
Argentina,50,41,10,10,50,50,67,50,21.19,0,0,306.81,Very Safe
Colombia,50,35,25,25,50,50,58,50,38.98,0,0,304.02,Very Safe
United States,25,36,50,10,50,50,81,50,9.32,0,-50,292.68,Very Safe
Slovenia,0,29,50,25,25,50,57,50,0,0,0,286,Very Safe
Croatia,0,25,50,25,50,50,31,50,0,0,0,281,Very Safe
Puerto Rico,0,36,50,10,50,50,79,50,47.46,0,0,277.54,Very Safe
Brazil,10,38,50,25,50,50,71,50,70.34,0,0,273.66,Very Safe
Nepal,50,0,50,50,0,0,86,25,1.69,0,0,259.31,Safe
Mexico,50,29,25,50,25,0,69,50,43.22,0,0,254.78,Safe
India,50,10,50,50,0,0,63,25,0.85,0,0,247.15,Safe
Greece,0,27,50,25,50,0,45,50,0.85,0,0,246.15,Safe
Estonia,0,27,50,25,25,25,46,50,6.78,0,0,241.22,Safe
Bolivia,0,11.66666667,50,50,50,0,40,50,16.95,0,0,234.72,Safe
Andorra,0,28,25,25,50,50,0,50,0,0,0,228,Safe
Cuba,0,29,50,50,0,50,0,50,2.54,0,0,226.46,Safe
Ecuador,0,32,25,50,50,0,44,50,27.97,0,0,223.03,Safe
Guam,0,36,50,10,50,50,0,25,0,0,0,221,Safe
Israel,0,10,25,25,10,50,44,50,0,0,0,214,Safe
Peru,0,10,50,25,50,0,40,50,11.02,0,0,213.98,Safe
United States Virgin Islands,0,36,0,25,50,50,0,50,0,0,0,211,Safe
San Marino,0,32,50,50,50,25,0,0,0,0,0,207,Safe
Slovakia,0,10,50,25,50,0,33,25,0,0,0,193,Safe
Taiwan,0,32,25,25,0,25,60,25,0,0,0,192,Safe
Serbia,0,0,50,25,50,0,18,50,2.54,0,0,190.46,Safe
Czechia,0,23,50,25,0,0,66,25,0,0,0,189,Safe
Cyprus,0,17,25,25,50,0,42,25,0,0,0,184,Safe
Montenegro,0,13,50,25,50,0,21,25,0,0,0,184,Safe
Kosovo,0,0,50,50,50,25,8,0,0,0,0,183,Safe
Angola,0,0,50,50,50,0,0,25,0,0,0,175,Safe
Italy,0,16.33333333,25,10,0,0,74,50,6.78,0,0,168.55,Safe
Bulgaria,0,10,50,25,25,0,23,25,0,0,0,158,Safe
North Macedonia,0,0,50,25,50,0,6,25,0,0,0,156,Safe
Thailand,0,26,50,10,0,0,45,25,2.54,0,0,153.46,Safe
Romania,0,10,25,25,50,0,18,25,0,0,0,153,Safe
Georgia,0,0,50,25,50,0,9,25,6.78,0,0,152.22,Safe
Ukraine,0,0,50,25,0,25,0,50,0,0,0,150,Safe
Lithuania,0,10,25,25,50,0,35,50,0,0,-50,145,Safe
Nicaragua,0,0,50,10,50,0,42,0,11.86,0,0,140.14,Safe
Botswana,0,0,25,50,0,0,31,25,0,0,0,131,Safe
Bosnia and Herzegovina,0,0,25,25,50,0,6,25,0,0,0,131,Safe
Cape Verde,0,0,25,0,50,0,0,50,0,0,0,125,Safe
Northern Mariana Islands,0,36,10,0,0,50,0,25,0,0,0,121,Safe
Fiji,0,0,50,50,10,0,0,25,18.64,0,0,116.36,Safe
Mongolia,0,0,0,25,50,0,10,25,0,0,0,110,Neutral
Aruba,0,30,25,25,25,0,0,0,0,0,0,105,Neutral
Curacao,0,29,25,25,25,0,0,0,0,0,0,104,Neutral
Liechtenstein,0,26,0,25,25,25,0,0,0,0,0,101,Neutral
Suriname,0,0,25,50,25,0,0,0,0,0,0,100,Neutral
